Original XML Dita File,UUID,,,,MARKETING.COM,DOCS.ADOBE.COM
dtm-users-master/src-migrate/dtm_home.xml,a369caa7-eb0a-4387-8627-431673f9eb99,,,,https://marketing.adobe.com/resources/help/en_US/dtm/,https://docs.adobe.com/content/help/en/dtm/using/dtm-home.html
dtm-users-master/src-migrate/whatsnew.xml,3676dac9-e2d8-47cf-9010-0f8d1aed06ed,,,,https://marketing.adobe.com/resources/help/en_US/dtm/whatsnew.html,https://docs.adobe.com/content/help/en/dtm/using/whatsnew.html
dtm-users-master/src-migrate/c_overview.xml,539d7553-fd47-4c1f-b07d-31f96201cbf2,,,,https://marketing.adobe.com/resources/help/en_US/dtm/c_overview.html,https://docs.adobe.com/content/help/en/dtm/using/c-overview.html
dtm-users-master/src-migrate/getting-started.xml,af63635a-ce28-4008-9e0d-99e5fe084030,,,,https://marketing.adobe.com/resources/help/en_US/dtm/get_started.html,https://docs.adobe.com/content/help/en/dtm/using/getting-started/get-started.html
dtm-users-master/src-migrate/get_started.xml,93a3054a-0db9-4dbb-9b12-9f69c7696102,,,,https://marketing.adobe.com/resources/help/en_US/dtm/get_started.html,https://docs.adobe.com/content/help/en/dtm/using/getting-started/get-started.html
dtm-users-master/src-migrate/gs-best-practices.xml,e9bc2108-9742-4391-a58f-cb827040717f,,,,https://marketing.adobe.com/resources/help/en_US/dtm/gs-best-practices.html,https://docs.adobe.com/content/help/en/dtm/using/getting-started/gs-best-practices.html
dtm-users-master/src-migrate/administration.xml,422ac82c-131c-4f5d-8c67-8411148fb454,,,,https://marketing.adobe.com/resources/help/en_US/dtm/web_property.html,https://docs.adobe.com/content/help/en/dtm/using/administration/web-property.html
dtm-users-master/src-migrate/web_property.xml,a8462a21-e819-45bc-beba-fecea456d8f8,,,,https://marketing.adobe.com/resources/help/en_US/dtm/web_property.html,https://docs.adobe.com/content/help/en/dtm/using/administration/web-property.html
dtm-users-master/src-migrate/users.xml,a98b3a01-005f-4697-b5c9-ad374758def0,,,,https://marketing.adobe.com/resources/help/en_US/dtm/users.html,https://docs.adobe.com/content/help/en/dtm/using/administration/users.html
dtm-users-master/src-migrate/c_create-manage-groups-enterprise-dashboard.xml,36024edd-8085-4145-b824-955adc6dabbf,,,,https://marketing.adobe.com/resources/help/en_US/dtm/c_create-manage-groups-enterprise-dashboard.html,https://docs.adobe.com/content/help/en/dtm/using/administration/c-create-manage-groups-enterprise-dashboard.html
dtm-users-master/src-migrate/groups.xml,e938d14f-10b8-4a57-81f5-6d63dd427083,,,,https://marketing.adobe.com/resources/help/en_US/dtm/groups.html,https://docs.adobe.com/content/help/en/dtm/using/administration/groups.html
dtm-users-master/src-migrate/c_Troubleshooting.xml,134a3b2e-81e9-4703-a17b-ba4dfc0816db,,,,https://marketing.adobe.com/resources/help/en_US/dtm/c_Troubleshooting.html,https://docs.adobe.com/content/help/en/dtm/using/administration/c-troubleshooting.html
dtm-users-master/src-migrate/c_chrome_2G.xml,51ce547c-1528-4626-8e6d-feddc8cbfb61,,,,https://marketing.adobe.com/resources/help/en_US/dtm/c_chrome_2G.html,https://docs.adobe.com/content/help/en/dtm/using/administration/c-chrome-2g.html
dtm-users-master/src-migrate/client-side-information.xml,f68db63c-c05d-40c1-af34-cea173adaa17,,,,https://marketing.adobe.com/resources/help/en_US/dtm/deployment.html,https://docs.adobe.com/content/help/en/dtm/using/client-side-information/deployment.html
dtm-users-master/src-migrate/deployment.xml,b05e4cc2-8b2f-42af-97c0-2f68436a7d6e,,,,https://marketing.adobe.com/resources/help/en_US/dtm/deployment.html,https://docs.adobe.com/content/help/en/dtm/using/client-side-information/deployment.html
dtm-users-master/src-migrate/code.xml,32fe3d1f-586d-42be-823e-52324664d85a,,,,https://marketing.adobe.com/resources/help/en_US/dtm/code.html,https://docs.adobe.com/content/help/en/dtm/using/client-side-information/code.html
dtm-users-master/src-migrate/t_add_header_fooder_code.xml,f13d5302-3cbc-4b28-9e6a-46184a9770ed,,,,https://marketing.adobe.com/resources/help/en_US/dtm/t_add_header_fooder_code.html,https://docs.adobe.com/content/help/en/dtm/using/client-side-information/t-add-header-fooder-code.html
dtm-users-master/src-migrate/t_verify_header_footer.xml,e1c3e381-4118-4696-a5f1-4a2dae156517,,,,https://marketing.adobe.com/resources/help/en_US/dtm/t_verify_header_footer.html,https://docs.adobe.com/content/help/en/dtm/using/client-side-information/t-verify-header-footer.html
dtm-users-master/src-migrate/object_reference.xml,8397bfe0-a24e-46c0-9723-9eadfc0c1184,,,,https://marketing.adobe.com/resources/help/en_US/dtm/object_reference.html,https://docs.adobe.com/content/help/en/dtm/using/client-side-information/object-reference.html
dtm-users-master/src-migrate/publishing.xml,29a488ba-e835-4e29-a93f-dd1883f0719b,,,,https://marketing.adobe.com/resources/help/en_US/dtm/library_management.html,https://docs.adobe.com/content/help/en/dtm/using/publishing/library-management.html
dtm-users-master/src-migrate/library_management.xml,ffc42599-93e7-40c9-8082-f781858f4056,,,,https://marketing.adobe.com/resources/help/en_US/dtm/library_management.html,https://docs.adobe.com/content/help/en/dtm/using/publishing/library-management.html
dtm-users-master/src-migrate/managing_resources.xml,fcdf84d5-1fee-4305-a783-7f24554a053b,,,,https://marketing.adobe.com/resources/help/en_US/dtm/tools.html,https://docs.adobe.com/content/help/en/dtm/using/managing-resources/tools.html
dtm-users-master/src-migrate/tools.xml,da61f065-e234-4c60-81fa-9398678f9140,,,,https://marketing.adobe.com/resources/help/en_US/dtm/tools.html,https://docs.adobe.com/content/help/en/dtm/using/managing-resources/tools.html
